Season,MVP,Defensive Player of the Year,Rookie of the Year,Sixth Man of the Year,Most Improved Player,Coach of the Year,Finals MVP,All-NBA 1st Team,All-NBA 2nd Team,All-NBA 3rd Team,All-Rookie 1st Team,All-Rookie 2nd Team,All-Defensive 1st Team,All-Defensive 2nd Team,All-Star MVP
2000,"Shaquille O'Neal, LAL","Alonzo Mourning, MIA","Elton Brand, CHI","Steve Francis, HOU","Rodney Rogers, PHX","Jalen Rose, IND","Doc Rivers, ORL","[""Shaquille O'Neal, LAL"", 'Tim Duncan, SA', 'Kevin Garnett, MIN', 'Jason Kidd, PHX', ""Shaquille O'Neal, LAL""]","['Gary Payton, SEA', 'Kobe Bryant, LAL', 'Grant Hill, DET', 'Allen Iverson, PHI', 'Karl Malone, UTAH']","['Alonzo Mourning, MIA', 'Vince Carter, TOR', 'Eddie Jones, CHA', 'Stephon Marbury, NJ', 'David Robinson, SA']","['Chris Webber, SAC', 'Elton Brand, CHI', 'Steve Francis, HOU', 'Andre Miller, CLE', 'Lamar Odom, LAC']","['Wally Szczerbiak, MIN', 'Metta World Peace, CHI', 'Chucky Atkins, ORL', 'Shawn Marion, PHX', 'James Posey, DEN']","['Jason Terry, ATL', 'Kobe Bryant, LAL', 'Tim Duncan, SA', 'Kevin Garnett, MIN', 'Alonzo Mourning, MIA']","['Gary Payton, SEA', 'Eddie Jones, CHA', 'Jason Kidd, PHX', ""Shaquille O'Neal, LAL"", 'Scottie Pippen, POR']","Clifford Robinson, POR"
2001,"Allen Iverson, PHI","Dikembe Mutombo, PHI","Mike Miller, ORL","Aaron McKie, PHI","Tracy McGrady, ORL","Larry Brown, PHI","Shaquille O'Neal, LAL","['Tim Duncan, SA', 'Allen Iverson, PHI', 'Jason Kidd, PHX', ""Shaquille O'Neal, LAL"", 'Chris Webber, SAC']","['Kobe Bryant, LAL', 'Vince Carter, TOR', 'Kevin Garnett, MIN', 'Tracy McGrady, ORL', 'Dikembe Mutombo, PHI']","['Ray Allen, MIL', 'Karl Malone, UTAH', 'Dirk Nowitzki, DAL', 'Gary Payton, SEA', 'David Robinson, SA']","['Marc Jackson, GS', 'Kenyon Martin, NJ', 'Darius Miles, LAC', 'Mike Miller, ORL', 'Morris Peterson, TOR']","['Courtney Alexander, WSH', 'Marcus Fizer, CHI', 'Desmond Mason, SEA', 'Chris Mihm, CLE', 'Hedo Turkoglu, SAC']","['Tim Duncan, SA', 'Kevin Garnett, MIN', 'Jason Kidd, PHX', 'Dikembe Mutombo, PHI', 'Gary Payton, SEA']","['Bruce Bowen, MIA', 'P.J. Brown, CHA', 'Kobe Bryant, LAL', 'Doug Christie, SAC', ""Shaquille O'Neal, LAL""]","Allen Iverson, PHI"
2002,"Tim Duncan, SA","Ben Wallace, DET","Pau Gasol, MEM","Corliss Williamson, DET","Jermaine O'Neal, IND","Rick Carlisle, DET","Shaquille O'Neal, LAL","['Kobe Bryant, LAL', 'Tim Duncan, SA', 'Jason Kidd, NJ', 'Tracy McGrady, ORL', ""Shaquille O'Neal, LAL""]","['Kevin Garnett, MIN', 'Allen Iverson, PHI', 'Dirk Nowitzki, DAL', 'Gary Payton, SEA', 'Chris Webber, SAC']","['Dikembe Mutombo, ATL', 'Steve Nash, DAL', ""Jermaine O'Neal, IND"", 'Paul Pierce, BOS', 'Ben Wallace, DET']","['Andrei Kirilenko, UTAH', 'Shane Battier, MEM', 'Pau Gasol, MEM', 'Tony Parker, SA', 'Jason Richardson, GS']","['Zeljko Rebraca, DET', 'Eddie Griffin, HOU', 'Richard Jefferson, NJ', 'Joe Johnson, PHX', 'Vladimir Radmanovic, SEA']","['Jamaal Tinsley, IND', 'Tim Duncan, SA', 'Kevin Garnett, MIN', 'Jason Kidd, NJ', 'Gary Payton, SEA']","['Ben Wallace, DET', 'Bruce Bowen, SA', 'Kobe Bryant, LAL', 'Doug Christie, SAC', 'Dikembe Mutombo, PHI']","Clifford Robinson, DET"
2003,"Tim Duncan, SA","Ben Wallace, DET","Amar'e Stoudemire, PHX","Bobby Jackson, SAC","Gilbert Arenas, GS","Hubie Brown, MEM","Gregg Popovich, SA","['Tim Duncan, SA', 'Kobe Bryant, LAL', 'Tim Duncan, SA', 'Kevin Garnett, MIN', 'Tracy McGrady, ORL']","[""Shaquille O'Neal, LAL"", 'Allen Iverson, PHI', 'Jason Kidd, NJ', 'Dirk Nowitzki, DAL', 'Ben Wallace, DET']","['Chris Webber, SAC', 'Stephon Marbury, PHX', 'Jamal Mashburn, NO', 'Steve Nash, DAL', ""Jermaine O'Neal, IND""]","['Paul Pierce, BOS', 'Caron Butler, MIA', 'Drew Gooden, ORL', 'Nene Hilario, DEN', 'Yao Ming, HOU']","[""Amar'e Stoudemire, PHX"", 'Manu Ginobili, SA', 'Gordan Giricek, ORL', 'Carlos Boozer, CLE', 'Jay Williams, CHI']","['J.R. Bremer, BOS', 'Kobe Bryant, LAL', 'Doug Christie, SAC', 'Tim Duncan, SA', 'Kevin Garnett, MIN']","['Ben Wallace, DET', 'Metta World Peace, IND', 'Bruce Bowen, SA', 'Jason Kidd, NJ', ""Shaquille O'Neal, LAL""]","Eric Snow, PHI"
2004,"Kevin Garnett, MIN","Metta World Peace, IND","LeBron James, CLE","Antawn Jamison, DAL","Zach Randolph, POR","Hubie Brown, MEM","Chauncey Billups, DET","['Kobe Bryant, LAL', 'Tim Duncan, SA', 'Kevin Garnett, MIN', 'Jason Kidd, NJ', ""Shaquille O'Neal, LAL""]","['Sam Cassell, MIN', 'Tracy McGrady, ORL', ""Jermaine O'Neal, IND"", 'Peja Stojakovic, SAC', 'Ben Wallace, DET']","['Metta World Peace, IND', 'Baron Davis, NO', 'Dirk Nowitzki, DAL', 'Michael Redd, MIL', 'Yao Ming, HOU']","['LeBron James, CLE', 'Carmelo Anthony, DEN', 'Chris Bosh, TOR', 'Kirk Hinrich, CHI', 'Dwyane Wade, MIA']","['T.J. Ford, MIL', 'Jarvis Hayes, WSH', 'Josh Howard, DAL', 'Udonis Haslem, MIA', 'Marquis Daniels, DAL']","['Metta World Peace, IND', 'Bruce Bowen, SA', 'Kobe Bryant, LAL', 'Kevin Garnett, MIN', 'Ben Wallace, DET']","['Doug Christie, SAC', 'Tim Duncan, SA', 'Jason Kidd, NJ', 'Andrei Kirilenko, UTAH', 'Theo Ratliff, POR']","Shaquille O'Neal, LAL"
2005,"Steve Nash, PHX","Ben Wallace, DET","Emeka Okafor, CHA","Ben Gordon, CHI","Bobby Simmons, LAC","Mike D'Antoni, PHX","Tim Duncan, SA","['Tim Duncan, SA', 'Allen Iverson, PHI', 'Steve Nash, PHX', 'Dirk Nowitzki, DAL', ""Shaquille O'Neal, MIA""]","['Ray Allen, SEA', 'Kevin Garnett, BOS', ""Amar'e Stoudemire, PHX"", 'LeBron James, CLE', 'Dwyane Wade, MIA']","['Kobe Bryant, LAL', 'Shawn Marion, PHX', 'Tracy McGrady, HOU', 'Ben Wallace, DET', 'Gilbert Arenas, WSH']","['Ben Gordon, CHI', 'Dwight Howard, ORL', 'Andre Iguodala, PHI', 'Emeka Okafor, CHA', 'Luol Deng, CHI']","['Nenad Krstic, NJ', 'Josh Childress, ATL', 'Al Jefferson, BOS', 'Josh Smith, ATL', 'Jameer Nelson, ORL']","['Bruce Bowen, SA', 'Tim Duncan, SA', 'Kevin Garnett, MIN', 'Larry Hughes, WSH', 'Ben Wallace, DET']","['Chauncey Billups, DET', 'Marcus Camby, DEN', 'Jason Kidd, NJ', 'Andrei Kirilenko, UTAH', 'Tayshaun Prince, DET']","Dwyane Wade, MIA"
2006,"Steve Nash, PHX","Ben Wallace, DET","Chris Paul, NO","Mike Miller, MEM","Boris Diaw, PHX","Avery Johnson, DAL","Dwyane Wade, MIA","['Kobe Bryant, LAL', 'Steve Nash, PHX', 'Dirk Nowitzki, DAL', ""Shaquille O'Neal, MIA"", 'LeBron James, CLE']","['Chauncey Billups, DET', 'Elton Brand, LAC', 'Tim Duncan, SA', 'Ben Wallace, DET', 'Dwyane Wade, MIA']","['Allen Iverson, PHI', 'Shawn Marion, PHX', 'Gilbert Arenas, WSH', 'Yao Ming, HOU', 'Carmelo Anthony, DEN']","['Andrew Bogut, MIL', 'Channing Frye, NY', 'Chris Paul, NO', 'Charlie Villanueva, TOR', 'Deron Williams, UTAH']","['Raymond Felton, CHA', 'Ryan Gomes, BOS', 'Danny Granger, IND', 'Luther Head, HOU', 'Marvin Williams, ATL']","['Metta World Peace, SAC', 'Bruce Bowen, SA', 'Kobe Bryant, LAL', 'Jason Kidd, NJ', 'Andrei Kirilenko, UTAH']","['Ben Wallace, DET', 'Chauncey Billups, DET', 'Marcus Camby, DEN', 'Tim Duncan, SA', 'Kevin Garnett, MIN']","Tayshaun Prince, DET"
2007,"Dirk Nowitzki, DAL","Marcus Camby, DEN","Brandon Roy, POR","Leandro Barbosa, PHX","Monta Ellis, GS","Sam Mitchell, TOR","Tony Parker, SA","['Kobe Bryant, LAL', 'Tim Duncan, SA', 'Steve Nash, PHX', 'Dirk Nowitzki, DAL', ""Amar'e Stoudemire, PHX""]","['Tracy McGrady, HOU', 'Gilbert Arenas, WSH', 'Yao Ming, HOU', 'LeBron James, CLE', 'Chris Bosh, TOR']","['Chauncey Billups, DET', 'Kevin Garnett, MIN', 'Carmelo Anthony, DEN', 'Dwyane Wade, MIA', 'Dwight Howard, ORL']","['LaMarcus Aldridge, POR', 'Andrea Bargnani, TOR', 'Randy Foye, MIN', 'Rudy Gay, MEM', 'Brandon Roy, POR']","['Jorge Garbajosa, TOR', 'Paul Millsap, UTAH', 'Adam Morrison, CHA', 'Rajon Rondo, BOS', 'Craig Smith, MIN']","['Tyrus Thomas, CHI', 'Marcus Williams, NJ', 'Walter Herrmann Heinrich, CHA', 'Raja Bell, PHX', 'Bruce Bowen, SA']","['Kobe Bryant, LAL', 'Marcus Camby, DEN', 'Tim Duncan, SA', 'Kevin Garnett, MIN', 'Jason Kidd, NJ']","Ben Wallace, CHI"
2008,"Kobe Bryant, LAL","Kevin Garnett, BOS","Kevin Durant, SEA","Manu Ginobili, SA","Hedo Turkoglu, ORL","Byron Scott, NO","Paul Pierce, BOS","['Kobe Bryant, LAL', 'Kevin Garnett, BOS', 'LeBron James, CLE', 'Dwight Howard, ORL', 'Chris Paul, NO']","['Tim Duncan, SA', 'Steve Nash, PHX', 'Dirk Nowitzki, DAL', ""Amar'e Stoudemire, PHX"", 'Deron Williams, UTAH']","['Manu Ginobili, SA', 'Tracy McGrady, HOU', 'Paul Pierce, BOS', 'Carlos Boozer, UTAH', 'Yao Ming, HOU']","['Luis Scola, HOU', 'Kevin Durant, SEA', 'Jeff Green, SEA', 'Al Horford, ATL', 'Al Thornton, LAC']","['Juan Carlos Navarro, MEM', 'Carl Landry, HOU', 'Rodney Stuckey, DET', 'Thaddeus Young, PHI', 'Jamario Moon, TOR']","['Bruce Bowen, SA', 'Kobe Bryant, LAL', 'Marcus Camby, DEN', 'Tim Duncan, SA', 'Kevin Garnett, BOS']","['Raja Bell, PHX', 'Shane Battier, HOU', 'Tayshaun Prince, DET', 'Dwight Howard, ORL', 'Chris Paul, NO']","LeBron James, CLE"
2009,"LeBron James, CLE","Dwight Howard, ORL","Derrick Rose, CHI","Jason Terry, DAL","Danny Granger, IND","Mike Brown, CLE","Kobe Bryant, LAL","['Kobe Bryant, LAL', 'Dirk Nowitzki, DAL', 'LeBron James, CLE', 'Dwyane Wade, MIA', 'Dwight Howard, ORL']","['Tim Duncan, SA', 'Paul Pierce, BOS', 'Yao Ming, HOU', 'Chris Paul, NO', 'Brandon Roy, POR']","['Chauncey Billups, DEN', ""Shaquille O'Neal, PHX"", 'Pau Gasol, LAL', 'Tony Parker, SA', 'Carmelo Anthony, DEN']","['Michael Beasley, MIA', 'Brook Lopez, NJ', 'O.J. Mayo, MEM', 'Derrick Rose, CHI', 'Russell Westbrook, OKC']","['Rudy Fernandez, POR', 'Marc Gasol, MEM', 'D.J. Augustin, CHA', 'Mario Chalmers, MIA', 'Eric Gordon, LAC']","['Kevin Love, MIN', 'Kobe Bryant, LAL', 'Kevin Garnett, BOS', 'LeBron James, CLE', 'Dwight Howard, ORL']","['Chris Paul, NO', 'Metta World Peace, LAL', 'Tim Duncan, SA', 'Shane Battier, HOU', 'Dwyane Wade, MIA']","Rajon Rondo, BOS"
