Team,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,PF
Milwaukee Bucks,73,118.7,43.3,90.9,47.6,13.8,38.9,35.5,18.3,24.7,74.2,9.5,42.2,51.7,25.9,7.2,14.7,19.6
Houston Rockets,71,118.1,40.9,90.6,45.1,15.7,45.3,34.7,20.7,26.2,79.0,9.9,34.6,44.5,21.6,8.7,14.2,21.8
Dallas Mavericks,75,117.0,41.7,90.3,46.1,15.1,41.3,36.7,18.6,23.8,77.9,10.5,36.4,46.9,24.7,6.1,12.1,19.5
LA Clippers,71,116.5,41.7,89.3,46.7,12.4,33.4,37.2,20.7,26.1,79.3,10.6,36.8,47.5,23.7,7.1,13.8,22.1
New Orleans Pelicans,72,115.8,42.6,91.6,46.5,13.6,36.9,37.0,17.1,23.4,72.9,11.1,35.4,46.5,26.8,7.5,15.9,21.2
Portland Trail Blazers,74,115.0,42.2,91.2,46.3,12.9,34.1,37.7,17.7,22.1,80.4,10.2,35.1,45.3,20.6,6.3,12.4,21.7
Washington Wizards,72,114.4,41.5,90.9,45.7,12.0,32.6,36.8,19.4,24.6,78.8,10.2,31.9,42.0,25.0,8.0,13.6,22.7
San Antonio Spurs,71,114.1,42.2,89.4,47.2,10.7,28.5,37.6,19.0,23.4,81.0,9.0,35.6,44.6,24.7,7.3,12.3,19.4
Boston Celtics,72,113.7,41.3,89.6,46.1,12.6,34.5,36.4,18.6,23.2,80.1,10.7,35.4,46.1,23.0,8.3,13.2,21.6
Phoenix Suns,73,113.6,41.2,88.1,46.8,11.4,31.8,35.8,19.9,23.8,83.4,9.8,33.8,43.5,27.2,7.7,14.2,22.0
Los Angeles Lakers,71,113.4,42.3,88.3,48.0,11.0,31.6,34.9,17.7,24.3,72.9,10.7,35.1,45.7,25.4,8.6,14.7,20.7
Minnesota Timberwolves,64,113.3,40.4,91.6,44.1,13.3,39.7,33.6,19.1,25.4,75.3,10.5,34.3,44.8,23.8,8.7,14.7,21.4
Toronto Raptors,71,112.7,40.2,87.9,45.7,13.8,37.0,37.2,18.6,23.3,79.7,9.5,35.8,45.3,25.2,8.8,14.1,21.6
Memphis Grizzlies,73,112.6,42.5,90.9,46.8,10.9,31.5,34.7,16.6,21.8,76.3,10.3,36.2,46.5,26.9,7.9,14.6,21.2
Miami Heat,72,112.3,39.6,84.3,46.9,13.5,35.4,38.1,19.7,25.2,78.3,8.4,35.9,44.3,26.1,7.5,13.9,20.6
Brooklyn Nets,72,111.8,40.4,90.3,44.8,13.1,38.1,34.3,17.9,24.1,74.5,10.6,37.3,47.9,24.5,6.4,14.6,21.0
Atlanta Hawks,67,111.8,40.6,90.6,44.9,12.0,36.1,33.3,18.5,23.4,79.0,9.9,33.4,43.3,24.0,7.8,15.7,23.1
Denver Nuggets,72,111.3,42.1,88.9,47.4,10.9,30.5,35.7,16.2,20.9,77.4,10.8,33.4,44.2,26.7,8.0,13.1,20.4
Utah Jazz,72,111.3,40.1,85.1,47.1,13.4,35.2,38.0,17.8,22.8,77.9,9.1,35.8,44.9,22.4,6.1,14.6,20.4
Oklahoma City Thunder,71,110.5,40.0,85.2,47.0,10.6,30.0,35.5,19.8,24.9,79.8,8.2,34.6,42.8,21.7,7.7,13.0,19.2
Philadelphia 76ers,72,110.4,41.0,87.9,46.6,11.5,31.5,36.6,16.9,22.4,75.4,10.5,34.9,45.4,25.7,8.0,13.5,21.0
Sacramento Kings,72,110.1,40.9,88.4,46.2,12.7,34.9,36.4,15.7,20.3,77.0,9.7,32.9,42.6,23.8,7.7,13.8,22.2
Indiana Pacers,72,109.4,42.1,88.4,47.6,10.1,27.9,36.3,15.1,19.2,78.7,8.7,34.0,42.7,25.8,7.4,12.6,19.7
Orlando Magic,73,107.3,39.3,88.6,44.4,11.1,32.2,34.3,17.6,22.7,77.4,10.3,34.2,44.5,23.9,8.2,12.2,18.3
Detroit Pistons,66,107.2,39.3,85.7,45.9,12.0,32.7,36.7,16.6,22.4,74.3,9.8,32.0,41.7,24.1,7.4,14.5,19.7
Cleveland Cavaliers,65,106.9,40.3,87.9,45.8,11.2,31.8,35.1,15.1,19.9,75.8,10.8,33.4,44.2,23.1,6.9,15.7,18.3
Chicago Bulls,65,106.8,39.6,88.6,44.7,12.2,35.1,34.8,15.5,20.5,75.5,10.5,31.4,41.9,23.2,10.0,14.6,21.8
Golden State Warriors,65,106.3,38.6,88.2,43.8,10.4,31.3,33.4,18.7,23.2,80.3,10.0,32.9,42.8,25.6,8.2,14.3,20.1
New York Knicks,66,105.8,40.0,89.3,44.7,9.6,28.4,33.7,16.3,23.5,69.4,12.0,34.5,46.5,22.1,7.6,13.8,22.2
Charlotte Hornets,65,102.9,37.3,85.9,43.4,12.1,34.3,35.2,16.2,21.6,74.8,11.0,31.8,42.8,23.8,6.6,13.9,18.8
