gmDate,seasonType,season,teamWins,teamLosses,teamAbbr,teamLoc,teamRslt,teamDayOff,teamPTS,teamAST,teamTO,teamMin,teamSTL,teamBLK,teamPF,teamFGA,teamFGM,teamFG%,team2PA,team2PM,team2P%,team3PA,team3PM,team3P%,teamFTA,teamFTM,teamFT%,teamORB,teamDRB,teamTRB,teamTREB%,teamASST%,teamTS%,teamEFG%,teamOREB%,teamDREB%,teamTO%,teamSTL%,teamBLK%,teamBLKR,teamPPS,teamFIC,teamFIC40,teamOrtg,teamDrtg,teamEDiff,teamPlay%,teamAR,teamPoss,teamAST/TO,teamPace,teamSTL/TO,opptWins,opptLosses,opptAbbr,opptLoc,opptRslt,opptDayOff,opptPTS,opptAST,opptTO,opptMin,opptSTL,opptBLK,opptPF,opptFGA,opptFGM,opptFG%,oppt2PA,oppt2PM,oppt2P%,oppt3PA,oppt3PM,oppt3P%,opptFTA,opptFTM,opptFT%,opptORB,opptDRB,opptTRB,opptTREB%,opptASST%,opptTS%,opptEFG%,opptOREB%,opptDREB%,opptTO%,opptSTL%,opptBLK%,opptBLKR,opptPPS,opptFIC,opptFIC40,opptOrtg,opptDrtg,opptEDiff,opptPlay%,opptAR,opptAST/TO,opptSTL/TO,opptPoss,opptPace,matchWinner
2002-05-25,Regular,2002,0,0,NYL,Away,Loss,0,64.0,13.0,16.0,200.0,11.0,2.0,22.0,69.0,24.0,0.35,57.0,21.0,11.96,12.0,3.0,0.25,16.0,13.0,0.81,14.0,17.0,31.0,50.00,0.54,0.44,0.37,37.84,68.00,17.38,15.94,2.90,4.65,0.93,32.00,32.00,92.77,104.36,-11.59,0.34,14.29,68.99,0.81,82.79,0.69,0,0,LAS,Home,Win,0,72.0,21.0,23.0,200.0,5.0,9.0,20.0,55.0,26.0,0.47,43.0,22.0,13.93,12.0,4.0,0.33,20.0,16.0,0.80,8.0,23.0,31.0,50.00,0.81,0.61,0.51,32.00,62.16,26.50,6.41,11.54,15.79,1.31,50.50,50.50,92.32,82.06,10.26,0.37,23.28,0.91,0.22,77.99,93.59,LAS
2002-05-25,Regular,2002,0,0,UTA,Away,Win,0,79.0,16.0,27.0,225.0,8.0,5.0,27.0,52.0,25.0,0.48,44.0,21.0,16.92,8.0,4.0,0.50,35.0,25.0,0.71,9.0,25.0,34.0,45.33,0.64,0.66,0.52,32.14,53.19,28.60,15.39,9.62,9.26,1.52,43.12,38.33,151.95,144.26,7.69,0.36,20.10,51.99,0.59,55.46,0.30,0,0,MIN,Home,Loss,0,75.0,14.0,17.0,225.0,12.0,4.0,31.0,76.0,25.0,0.33,54.0,19.0,2.92,22.0,6.0,0.27,32.0,19.0,0.59,22.0,19.0,41.0,54.67,0.56,0.45,0.37,46.81,67.86,15.88,15.68,5.23,9.09,0.99,39.75,35.33,98.01,103.24,-5.23,0.35,15.07,0.82,0.71,76.52,81.62,UTA
2002-05-27,Regular,2002,1,0,LAS,Away,Win,1,68.0,18.0,13.0,200.0,8.0,4.0,18.0,64.0,26.0,0.41,53.0,23.0,14.95,11.0,3.0,0.27,17.0,13.0,0.76,14.0,27.0,41.0,63.08,0.69,0.50,0.43,43.75,81.82,15.39,12.50,6.25,10.00,1.06,55.88,55.88,106.27,85.95,20.32,0.41,20.57,63.99,1.38,76.79,0.62,0,0,HOU,Home,Loss,0,55.0,13.0,15.0,200.0,7.0,5.0,14.0,52.0,19.0,0.37,40.0,14.0,6.90,12.0,5.0,0.42,17.0,12.0,0.71,6.0,18.0,24.0,36.92,0.68,0.49,0.41,18.18,56.25,20.14,10.77,7.70,9.43,1.06,32.12,32.12,84.65,104.66,-20.01,0.31,17.93,0.87,0.47,64.97,77.96,LAS
2002-05-28,Regular,2002,0,1,MIN,Away,Win,2,66.0,13.0,21.0,200.0,4.0,0.0,24.0,36.0,20.0,0.56,26.0,14.0,9.83,10.0,6.0,0.60,27.0,20.0,0.74,5.0,19.0,24.0,53.33,0.65,0.79,0.64,38.46,59.38,30.49,11.12,0.00,0.00,1.83,32.12,32.12,183.44,175.10,8.34,0.38,22.37,35.98,0.62,43.18,0.19,0,0,MIA,Home,Loss,0,63.0,15.0,10.0,200.0,13.0,2.0,28.0,59.0,22.0,0.37,41.0,19.0,3.95,18.0,3.0,0.17,26.0,16.0,0.62,13.0,8.0,21.0,46.67,0.68,0.49,0.40,40.62,61.54,12.43,23.68,3.64,7.69,1.07,34.00,34.00,114.78,120.24,-5.46,0.39,20.67,1.50,1.30,54.89,65.87,MIN
2002-05-29,Regular,2002,0,0,PHO,Away,Loss,0,56.0,11.0,19.0,200.0,5.0,5.0,20.0,51.0,21.0,0.41,39.0,15.0,8.88,12.0,6.0,0.50,14.0,8.0,0.57,8.0,23.0,31.0,50.00,0.52,0.52,0.47,27.59,69.70,24.95,9.81,9.81,10.42,1.10,29.75,29.75,109.83,119.63,-9.80,0.34,14.70,50.99,0.58,61.19,0.26,0,1,HOU,Home,Win,1,61.0,15.0,9.0,200.0,10.0,2.0,15.0,60.0,23.0,0.38,48.0,21.0,10.97,12.0,2.0,0.17,17.0,13.0,0.76,10.0,21.0,31.0,50.00,0.65,0.48,0.40,30.30,72.41,11.77,15.87,3.17,5.13,1.02,45.88,45.88,96.78,88.85,7.93,0.39,19.60,1.67,1.11,63.03,75.64,HOU
2002-05-29,Regular,2002,0,1,NYL,Away,Win,3,84.0,22.0,20.0,200.0,13.0,3.0,21.0,59.0,32.0,0.54,49.0,25.0,21.88,10.0,7.0,0.70,19.0,13.0,0.68,12.0,16.0,28.0,56.00,0.69,0.66,0.60,44.44,69.57,22.89,22.04,5.09,7.32,1.42,64.12,64.12,142.40,105.10,37.30,0.48,23.75,58.99,1.10,70.79,0.65,0,0,POR,Home,Loss,0,62.0,9.0,23.0,200.0,11.0,2.0,19.0,53.0,23.0,0.43,41.0,19.0,10.92,12.0,4.0,0.33,19.0,12.0,0.63,7.0,15.0,22.0,44.00,0.39,0.54,0.47,30.43,55.56,27.26,14.99,2.73,4.08,1.17,22.88,22.88,84.48,114.46,-29.98,0.33,11.74,0.39,0.48,73.39,88.07,NYL
2002-05-30,Regular,2002,2,0,LAS,Away,Win,2,69.0,14.0,20.0,200.0,7.0,3.0,26.0,52.0,25.0,0.48,36.0,22.0,8.94,16.0,3.0,0.19,25.0,16.0,0.64,11.0,25.0,36.0,58.06,0.56,0.60,0.51,44.00,67.57,24.10,13.46,5.77,5.88,1.33,41.38,41.38,132.72,125.02,7.70,0.41,18.67,51.99,0.70,62.39,0.35,0,1,MIA,Home,Loss,1,65.0,13.0,12.0,200.0,9.0,2.0,22.0,65.0,24.0,0.37,51.0,23.0,9.98,14.0,1.0,0.07,24.0,16.0,0.67,12.0,14.0,26.0,41.94,0.54,0.46,0.38,32.43,56.00,13.70,13.56,3.01,5.56,1.00,30.75,30.75,97.97,103.99,-6.02,0.37,16.36,1.08,0.75,66.35,79.62,LAS
2002-05-30,Regular,2002,0,0,DET,Away,Loss,0,66.0,18.0,25.0,200.0,6.0,4.0,28.0,53.0,25.0,0.47,40.0,20.0,11.91,13.0,5.0,0.38,18.0,11.0,0.61,8.0,18.0,26.0,50.00,0.72,0.58,0.52,34.78,62.07,29.10,11.32,7.55,8.00,1.25,30.00,30.00,124.55,150.97,-26.42,0.36,20.44,52.99,0.72,63.59,0.24,0,0,ORL,Home,Win,0,80.0,17.0,17.0,200.0,11.0,3.0,24.0,57.0,26.0,0.46,50.0,25.0,18.98,7.0,1.0,0.14,34.0,27.0,0.79,11.0,15.0,26.0,50.00,0.65,0.62,0.46,37.93,65.22,19.11,14.95,4.08,7.50,1.40,48.75,48.75,108.74,89.71,19.03,0.41,22.36,1.00,0.65,73.57,88.28,ORL
2002-05-30,Regular,2002,1,1,NYL,Away,Win,0,78.0,15.0,17.0,200.0,14.0,2.0,19.0,55.0,28.0,0.51,44.0,23.0,16.91,11.0,5.0,0.45,26.0,17.0,0.65,11.0,21.0,32.0,53.33,0.54,0.64,0.55,42.31,61.76,20.37,25.46,3.64,5.13,1.42,58.25,58.25,141.84,110.93,30.91,0.46,19.85,54.99,0.88,65.99,0.82,0,0,SEA,Home,Loss,0,61.0,13.0,19.0,200.0,11.0,2.0,21.0,60.0,19.0,0.32,39.0,11.0,-2.13,21.0,8.0,0.38,19.0,15.0,0.79,13.0,15.0,28.0,46.67,0.68,0.48,0.38,38.24,57.69,21.75,16.61,3.02,4.55,1.02,29.62,29.62,92.10,117.77,-25.67,0.29,15.54,0.68,0.58,66.23,79.48,NYL
2002-05-30,Regular,2002,0,1,POR,Away,Loss,0,64.0,9.0,9.0,200.0,3.0,7.0,28.0,60.0,22.0,0.37,52.0,20.0,13.97,8.0,2.0,0.25,22.0,18.0,0.82,10.0,21.0,31.0,40.26,0.41,0.49,0.38,27.78,51.22,11.44,5.00,11.67,11.48,1.07,32.50,32.50,106.68,115.02,-8.34,0.37,13.17,59.99,1.00,71.99,0.33,1,0,UTA,Home,Win,4,69.0,11.0,11.0,200.0,4.0,8.0,21.0,64.0,25.0,0.39,61.0,25.0,22.00,3.0,0.0,0.00,31.0,19.0,0.61,20.0,26.0,46.0,59.74,0.44,0.49,0.39,48.78,72.22,12.41,5.78,11.55,15.38,1.08,50.38,50.38,99.62,92.41,7.21,0.45,15.20,1.00,0.36,69.26,83.11,UTA
